,Unnamed: 0,Unnamed: 0.1,Tweet ID,Sentiment,Tweet,trinary_sentiment,Bert Sentiment,SentiStrength Sentiment,SentiStrength Score
0,0,9960,637691160077729000,neutral,Ice cube son can play Craig in the next Friday coming out,1,neutral,Neutral,0
1,1,16246,661799937252945000,neutral,"""George Harrison, Louis Armstrong and Bob Marley on the way before 8 this morning - how's your Wednesday going? #SmoothBreakfast""",1,neutral,Neutral,0
2,2,8487,636055909375066000,neutral,- be your vigilante. He'll be buried deep in the ground just like his beloved WCW. September 20th is the day Seth Rollins ends Sting.,1,neutral,Neutral,0
3,3,3492,628243008132026000,negative,"""Last Eid, Gaza was in black. My friend was killed by Israeli shelling on the 1st day of Eid #HappyEid""",0,neutral,Negative,-2
4,4,4977,631007131479638000,neutral,"""Those of you that diss all anime for how Naruto fans were like in the 7th grade, you might want to reevaluate the whovian fandom just sayin.""",1,neutral,Positive,1
5,5,19901,680287520957935000,positive,well I'm going to see Justin Bieber in March!!!! Merry Xmas to me.,2,positive,Positive,1
6,6,5863,632550254420717000,positive,"""Nothing like starting your Saturday morning blasting U2's Where the Streets Have No Name, driving as the sun comes up!""",2,positive,Positive,2
7,7,9507,637200203775373000,neutral,i have no idea what's going on but why IS NO ONE TALKING ABOUT LIAM AND ZAYN?! will zayn attend the vmas?! it's liam's birthday tomorrow!!!,1,neutral,Positive,1
8,8,12143,639188707128573000,neutral,Kris Bryant is just too tall to play 3rd base,1,neutral,Neutral,0
9,9,15402,641277583590584000,neutral,"""Yo I'm all in for trying to break Tom Brady on Thursday. All our D Lineman should just yell """"deflategate"""" the whole game""",1,neutral,Neutral,0
10,10,4438,630347138648678000,neutral,"""@AshleeBaracy I heard @DevinScillian &amp; @berniesmilovitz may have been in the office doing """"research"""" on Caitlyn Jenner""",1,neutral,Neutral,0
11,11,16348,662743339247112000,positive,"""@SuperBroMovies @AgeOfMyself the 1st one is ok, rise of the silver surfer was terrible, but Chris Evans was hilarious &amp; great in both.""",2,positive,Negative,-1
12,12,8735,636349617395728000,neutral,.#News: (@JanetJackson)  Janet Jackson Writes Open Letter to The Late Aaliyah: Today (August 25) marks the 14t... http://t.co/v3i4RVAfyS,1,neutral,Neutral,0
13,13,6309,633312465514840000,neutral,"""Super Eagles coach Sunday Oliseh has invited 18 foreign based professionals to the Super Eagles.. Enyeama, Eduok included.  #Tanzania""",1,neutral,Negative,-1
14,14,18879,677312706433552000,neutral,@MamaMacy07 This is regarding your concern engaged with Ira. May I know if you can use it via Facebook app?,1,neutral,Negative,-1
15,15,16408,663309417035792000,negative,"""Last face you want to see on Remembrance Sunday is Tony Blair, lying, horrible, corrupt twat. Bush's bitch""",0,negative,Negative,-4
16,16,11731,638870888151130000,neutral,"""Coldplay, One Republic, Maroon 5, Sam Smith, Ed Sheeran, Oasis, Owl City, Simple Plan, The Fray, Muse, Snow Patrol, Empire of the Sun..""",1,neutral,Neutral,0
