,Tweet ID,Sentiment
0,619950566786113536,neutral
1,619969366986235905,neutral
2,619971047195045888,negative
3,619974445185302528,neutral
4,619987808317407232,positive
5,619994586182619136,positive
6,619998879447162881,positive
7,619999109991284737,neutral
8,620013074272137216,positive
9,620015047889154048,neutral
10,620015649151021056,neutral
11,620017122081685504,neutral
12,620023409901043712,neutral
13,620024331322699776,neutral
14,620027768131203072,positive
15,620031929182621696,neutral
16,620033827046596608,neutral
17,620035146083880961,neutral
18,620040573395701760,neutral
19,620045069605691392,neutral
20,620045849373093892,positive
21,620045999977963520,neutral
22,620056364149309441,positive
23,620056577341562884,positive
24,620060010396041216,neutral
25,620063502682599425,positive
26,620064098731073536,neutral
27,620067692066828288,negative
28,620068767930802177,neutral
29,620073648255168512,positive
30,620076360040583169,neutral
31,620080951708651520,positive
32,620084129640546304,neutral
33,620099074679701509,negative
34,620111581230149632,neutral
35,620125231164715008,positive
36,620131126888132608,neutral
37,620133093005856768,neutral
38,620133289668407296,neutral
39,620149443191533568,negative
40,620152459676282880,negative
41,620156193026252801,positive
42,620163205327773696,neutral
43,620166981614968832,positive
44,620170215507292160,negative
45,620173983179231232,positive
46,620192443204546560,neutral
47,620201635013337088,negative
48,620208590951960576,negative
49,620237663170228224,positive
50,620266119056740352,neutral
51,620267832614518784,positive
52,620279295169200129,negative
53,620295060756787200,negative
54,620302439456092160,positive
55,620325254259429377,positive
56,620328475325378560,positive
57,620329365948223490,neutral
58,620331316597391361,negative
59,620334013320818688,neutral
60,620335227890630656,neutral
61,620338691488268288,neutral
62,620342289995558912,negative
63,620344813552951296,positive
64,620360837497229313,neutral
65,620365530017472513,positive
66,620372854501015552,neutral
67,620377309825134592,positive
68,620380830989336576,neutral
69,620381355117907968,positive
70,620383113571618816,positive
71,620385344010252288,neutral
72,620386720152973316,neutral
73,620398950533632000,positive
74,620402199240151040,negative
75,620403152697753601,negative
76,620411093656035328,neutral
77,620412649214484480,negative
78,620414827547066368,positive
79,620416297382252544,positive
80,620416711003623429,neutral
81,620419137018429441,negative
82,620419644877180928,neutral
83,620422456474386432,positive
84,620423046109597696,positive
85,620423609870364672,negative
86,620426963472134144,negative
87,620427207274422272,negative
88,620427294075584512,neutral
89,620428030188589057,positive
90,620428257045778432,neutral
91,620428713365078016,positive
92,620429925498114048,neutral
93,620431875945840640,neutral
94,620432784390266880,neutral
95,620434259405373441,neutral
96,620435978201632769,positive
97,620436097537978368,positive
98,620436233425059840,neutral
99,620437207581495298,positive
100,620437987193569280,negative
101,620438731992862720,positive
102,620443259458990080,negative
103,620449026186575872,neutral
104,620449927492059137,positive
105,620451684511260672,neutral
106,620451697475719173,positive
107,620456013582368768,neutral
108,620463438083551232,positive
109,620464868433367041,neutral
110,620467935174209536,neutral
111,620470107156824064,negative
112,620470689850597377,neutral
113,620472962433568768,neutral
114,620481359555891200,neutral
115,620481943373615104,positive
116,620485556833812480,neutral
117,620490321688952832,neutral
118,620493452539662337,neutral
119,620509902167879680,neutral
120,620511335512608769,negative
121,620513274828861440,positive
122,620515251822440448,positive
123,620515322223796224,neutral
124,620519869927280645,positive
125,620534937406558208,positive
126,620548396529618944,negative
