Unnamed: 0,Topic,Sentiment,TweetId,TweetDate,TweetText,VADER_Score,VADER_Compound,VADER_Sentiment,SentiStrengthSentiment,SentiStrengthScore,BERTSentiment2,BERTDetails2,BERTSentiment3,BERTDetails3
0,apple,positive,1.26416e+17,Tue Oct 18 21:53:25 +0000 2011,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Neutral,"tensor([[ 0.2747,  1.0212, -0.4154]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.6118, -0.5887, -0.7362]], grad_fn=<AddmmBackward>)"
1,apple,positive,1.26405e+17,Tue Oct 18 21:09:33 +0000 2011,@Apple will be adding more carrier support to the iPhone 4S (just announced),"{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.4549}",0.4549,Positive,Positive,1,Neutral,"tensor([[ 0.0223,  0.6294, -0.4931]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.3169, -0.3698, -0.6333]], grad_fn=<AddmmBackward>)"
2,apple,positive,1.26403e+17,Tue Oct 18 21:02:20 +0000 2011,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.8858}",0.8858,Positive,Positive,3,Neutral,"tensor([[ 0.1891,  0.4476, -0.3849]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2402, -0.2492, -0.1246]], grad_fn=<AddmmBackward>)"
3,apple,positive,1.26397e+17,Tue Oct 18 20:40:10 +0000 2011,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4926}",0.4926,Positive,Positive,1,Neutral,"tensor([[ 0.0324,  1.0728, -0.4950]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2649,  0.1774,  0.0386]], grad_fn=<AddmmBackward>)"
4,apple,positive,1.26396e+17,Tue Oct 18 20:34:00 +0000 2011,I just realized that the reason I got into twitter was ios5 thanks @apple,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}",0.4404,Positive,Positive,1,Neutral,"tensor([[-0.6217,  0.8824, -0.5946]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3143,  0.0359, -0.2006]], grad_fn=<AddmmBackward>)"
5,apple,positive,1.26395e+17,Tue Oct 18 20:30:50 +0000 2011,"I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone","{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.479}",-0.479,Negative,Negative,-2,Neutral,"tensor([[ 0.0407,  0.4302, -0.6313]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3275,  0.4363, -0.2519]], grad_fn=<AddmmBackward>)"
6,apple,positive,1.2638e+17,Tue Oct 18 19:30:39 +0000 2011,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.6588}",0.6588,Positive,Positive,3,Neutral,"tensor([[ 0.0389,  0.4606, -0.5021]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.4948, -0.2003, -0.0083]], grad_fn=<AddmmBackward>)"
7,apple,positive,1.26378e+17,Tue Oct 18 19:22:35 +0000 2011,Great up close & personal event @Apple tonight in Regent St store!,"{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.6588}",0.6588,Positive,Positive,3,Neutral,"tensor([[ 0.1072, -0.0116, -0.6177]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5005, -0.3980, -0.0545]], grad_fn=<AddmmBackward>)"
8,apple,positive,1.26374e+17,Tue Oct 18 19:07:11 +0000 2011,From which companies do you experience the best customer service aside from @zappos and @apple?,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6369}",0.6369,Positive,Positive,1,Neutral,"tensor([[-0.2283,  1.1345, -0.4194]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1448,  0.3595, -0.2887]], grad_fn=<AddmmBackward>)"
9,apple,positive,1.26366e+17,Tue Oct 18 18:37:41 +0000 2011,"Just apply for a job at @Apple, hope they call me lol","{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.6908}",0.6908,Positive,Positive,2,Neutral,"tensor([[-0.0578,  0.5150, -0.7405]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0882,  0.1387,  0.3071]], grad_fn=<AddmmBackward>)"
