Column1,Sentiment,RealSentiment,TweetID,Date,Query,User,Tweet,VADER_Score,VADER_Compound,VADER_Sentiment,SentiStrengthSentiment,SentiStrengthScore,BERTSentiment,BERTDetails,BERTSentiment1,BERTDetails1,BERTSentiment2,BERTDetails2
0,4,Positive,3,Mon May 11 03:17:40 UTC 2009,kindle2,tpryan,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.","{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.8373}",0.8373,Positive,Positive,2,Positive,"tensor([[-0.5348, -0.5411, -0.3374]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.4203, -0.5106,  0.3264]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2866, -0.3106,  0.0407]], grad_fn=<AddmmBackward>)"
1,4,Positive,4,Mon May 11 03:18:03 UTC 2009,kindle2,vcu451,Reading my kindle2...  Love it... Lee childs is good read.,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7964}",0.7964,Positive,Positive,2,Positive,"tensor([[-0.0744, -0.9423, -0.4121]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.6590, -0.0599,  0.2944]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.1888, -0.4012,  0.5491]], grad_fn=<AddmmBackward>)"
2,4,Positive,5,Mon May 11 03:18:54 UTC 2009,kindle2,chadfu,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Neutral,"tensor([[-0.3854, -0.4173, -0.8564]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.3008, -0.4591,  0.8770]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.0762, -0.0446,  0.2506]], grad_fn=<AddmmBackward>)"
3,4,Positive,6,Mon May 11 03:19:04 UTC 2009,kindle2,SIX15,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),"{'neg': 0.118, 'neu': 0.605, 'pos': 0.277, 'compound': 0.7772}",0.7772,Positive,Negative,-1,Positive,"tensor([[-0.4384, -0.4784, -0.2700]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.5578, 0.0648, 0.5816]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.1694, -0.1119,  0.1664]], grad_fn=<AddmmBackward>)"
4,4,Positive,7,Mon May 11 03:21:41 UTC 2009,kindle2,yamarama,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),"{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.8934}",0.8934,Positive,Positive,1,Positive,"tensor([[-0.1725, -0.3328, -0.4066]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.4758, -0.2951,  0.5298]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.4414, 0.0977, 0.3189]], grad_fn=<AddmmBackward>)"
5,4,Positive,8,Mon May 11 03:22:00 UTC 2009,kindle2,GeorgeVHulme,@richardebaker no. it is too big. I'm quite happy with the Kindle2.,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.6115}",0.6115,Positive,Positive,1,Neutral,"tensor([[-1.1300, -0.4825, -0.4962]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0014, -0.2457,  0.1081]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2274, -0.1100,  0.2675]], grad_fn=<AddmmBackward>)"
6,0,Negative,9,Mon May 11 03:22:30 UTC 2009,aig,Seth937,Fuck this economy. I hate aig and their non loan given asses.,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.802}",-0.802,Negative,Negative,-3,Positive,"tensor([[-0.7962, -1.1843, -0.6611]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0206, -0.9730,  0.3871]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.0859, 0.2921, 0.2802]], grad_fn=<AddmmBackward>)"
7,4,Positive,10,Mon May 11 03:26:10 UTC 2009,jquery,dcostalis,Jquery is my new best friend.,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.8126}",0.8126,Positive,Positive,1,Positive,"tensor([[-0.0590, -0.5431,  0.0804]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.3354, -0.4241, -0.0665]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.3938, 0.1085, 0.2933]], grad_fn=<AddmmBackward>)"
8,4,Positive,11,Mon May 11 03:27:15 UTC 2009,twitter,PJ_King,Loves twitter,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,Positive,Positive,2,Negative,"tensor([[-0.2435, -0.9683, -0.3660]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4626, -0.4323,  0.5164]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0617,  0.1120,  0.3340]], grad_fn=<AddmmBackward>)"
9,4,Positive,12,Mon May 11 03:29:20 UTC 2009,obama,mandanicole,how can you not love Obama? he makes jokes about himself.,"{'neg': 0.234, 'neu': 0.626, 'pos': 0.139, 'compound': -0.3331}",-0.3331,Negative,Neutral,0,Positive,"tensor([[-0.7634, -1.1767,  0.4002]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5851, -0.1588,  0.2856]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3776, -0.0930,  0.0053]], grad_fn=<AddmmBackward>)"
10,2,Neutral,13,Mon May 11 03:32:42 UTC 2009,obama,jpeb,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.7774, -0.8771, -0.3851]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0894, -0.5621,  0.2871]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0246, -0.0257,  0.6261]], grad_fn=<AddmmBackward>)"
11,0,Negative,14,Mon May 11 03:32:48 UTC 2009,obama,kylesellers,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism","{'neg': 0.164, 'neu': 0.723, 'pos': 0.114, 'compound': -0.5346}",-0.5346,Negative,Negative,-2,Positive,"tensor([[-1.0120, -0.8892, -0.4524]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5532, -0.2113,  0.8129]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2879, -0.0031,  0.9114]], grad_fn=<AddmmBackward>)"
12,4,Positive,15,Mon May 11 03:33:38 UTC 2009,obama,theviewfans,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.3423, -0.9859, -0.0763]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3295,  0.3184, -0.0478]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.6544, -0.1171, -0.3242]], grad_fn=<AddmmBackward>)"
13,4,Positive,16,Mon May 11 05:05:58 UTC 2009,nike,MumsFP,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,3,Positive,"tensor([[-0.7735, -0.6995, -0.7842]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1919, -0.0882,  0.1403]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3339, -0.4670,  0.3727]], grad_fn=<AddmmBackward>)"
14,0,Negative,17,Mon May 11 05:06:22 UTC 2009,nike,vincentx24x,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x","{'neg': 0.401, 'neu': 0.37, 'pos': 0.229, 'compound': -0.6249}",-0.6249,Negative,Neutral,0,Negative,"tensor([[-0.5586, -0.5829, -0.1651]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4774, -0.6466,  0.6945]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0667,  0.1438,  0.2111]], grad_fn=<AddmmBackward>)"
15,4,Positive,18,Mon May 11 05:20:15 UTC 2009,lebron,cameronwylie,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2","{'neg': 0.048, 'neu': 0.787, 'pos': 0.165, 'compound': 0.6096}",0.6096,Positive,Positive,1,Positive,"tensor([[-0.0886, -1.1562, -0.0663]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2130, -0.5472,  0.1692]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3987,  0.2282,  0.2862]], grad_fn=<AddmmBackward>)"
16,0,Negative,19,Mon May 11 05:20:28 UTC 2009,lebron,luv8242,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,"{'neg': 0.225, 'neu': 0.712, 'pos': 0.063, 'compound': -0.7096}",-0.7096,Negative,Negative,-3,Neutral,"tensor([[-0.4554, -0.3170,  0.2175]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1379, -0.2880,  0.4928]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.6247, -0.3628, -0.2386]], grad_fn=<AddmmBackward>)"
17,4,Positive,20,Mon May 11 05:21:04 UTC 2009,lebron,mtgillikin,i love lebron. http://bit.ly/PdHur,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,Positive,Positive,2,Negative,"tensor([[-0.4061, -0.8630, -0.4006]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3721, -0.1421,  0.4307]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0007, -0.2093,  0.6879]], grad_fn=<AddmmBackward>)"
18,0,Negative,21,Mon May 11 05:21:37 UTC 2009,lebron,ursecretdezire,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.","{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.6652}",0.6652,Positive,Positive,2,Positive,"tensor([[-0.1309, -0.7501,  0.0964]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3541, -0.5162,  0.9871]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5504, -0.0876,  0.3004]], grad_fn=<AddmmBackward>)"
19,4,Positive,22,Mon May 11 05:21:45 UTC 2009,lebron,Native_01,@Pmillzz lebron IS THE BOSS,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.4505, -1.3992, -0.2175]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.3939, 0.2109, 0.2919]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0275, -0.1711,  0.0282]], grad_fn=<AddmmBackward>)"
20,4,Positive,23,Mon May 11 05:22:03 UTC 2009,lebron,princezzcutz,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol","{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.8591}",0.8591,Positive,Positive,2,Positive,"tensor([[-0.6611, -0.6988,  0.1175]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5365, -0.3869,  0.2882]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1698, -0.3032,  0.2168]], grad_fn=<AddmmBackward>)"
21,4,Positive,24,Mon May 11 05:22:12 UTC 2009,lebron,peterlikewhat,lebron and zydrunas are such an awesome duo,"{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.6249}",0.6249,Positive,Positive,2,Positive,"tensor([[-0.4016, -1.2370, -0.5959]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.1289, -0.2913,  0.6151]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0709,  0.0129,  0.4904]], grad_fn=<AddmmBackward>)"
22,4,Positive,25,Mon May 11 05:22:37 UTC 2009,lebron,emceet,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[-0.1252, -0.9161,  0.5254]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.4636, -0.2502,  0.3089]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2431, -0.1003,  0.1248]], grad_fn=<AddmmBackward>)"
23,4,Positive,26,Mon May 11 06:02:24 UTC 2009,iphone app,CocoSavanna,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,"{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.7531}",0.7531,Positive,Positive,1,Positive,"tensor([[-0.7938, -1.0149, -0.4300]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2051, -0.2111,  0.0779]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.4329, -0.2012,  0.2373]], grad_fn=<AddmmBackward>)"
24,4,Positive,33,Mon May 11 19:47:29 UTC 2009,visa,DreambigRadio,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!","{'neg': 0.318, 'neu': 0.518, 'pos': 0.164, 'compound': -0.7701}",-0.7701,Negative,Negative,-1,Negative,"tensor([[-0.5476, -0.9412,  0.0715]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3977, -0.2454,  0.2384]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0931, -0.2086,  0.0977]], grad_fn=<AddmmBackward>)"
25,4,Positive,34,Mon May 11 19:49:21 UTC 2009,fredwilson,andrewwatson,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.6249}",0.6249,Positive,Positive,2,Negative,"tensor([[-0.5188, -0.1231, -0.3296]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.7625, -0.8974,  0.6344]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.2672, -0.3874,  0.1462]], grad_fn=<AddmmBackward>)"
26,4,Positive,35,Mon May 11 19:50:07 UTC 2009,fredwilson,fredwilson,In montreal for a long weekend of R&amp;R. Much needed.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.7381, -1.3124, -0.3714]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3053, -0.0356,  0.3196]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3983, -0.1513,  0.2929]], grad_fn=<AddmmBackward>)"
27,4,Positive,46,Thu May 14 02:58:07 UTC 2009,"""booz allen""",JoeSchueller,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.7644}",0.7644,Positive,Positive,1,Negative,"tensor([[-0.5848, -0.7506,  0.2625]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4512, -0.2495,  0.5971]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0329, -0.5056, -0.1597]], grad_fn=<AddmmBackward>)"
28,4,Positive,47,Thu May 14 02:58:23 UTC 2009,"""booz allen""",scottabel,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,"{'neg': 0.0, 'neu': 0.414, 'pos': 0.586, 'compound': 0.872}",0.872,Positive,Neutral,0,Positive,"tensor([[-0.4496, -0.7271,  0.0045]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0799, -0.6175,  0.3392]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2142, -0.4531,  0.0904]], grad_fn=<AddmmBackward>)"
29,4,Positive,49,Thu May 14 05:24:50 UTC 2009,40d,JustMe_D,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.","{'neg': 0.098, 'neu': 0.82, 'pos': 0.082, 'compound': -0.128}",-0.128,Negative,Positive,1,Positive,"tensor([[-0.3178, -1.0995, -0.4788]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.1797,  0.2127,  0.0204]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1371, -0.2327,  0.3202]], grad_fn=<AddmmBackward>)"
30,2,Neutral,50,Thu May 14 05:25:04 UTC 2009,40d,hiteshbagai,need suggestions for a good IR filter for my canon 40D ... got some? pls DM,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4939}",0.4939,Positive,Positive,1,Positive,"tensor([[-0.4146, -0.4067, -0.3737]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0377, -0.7618,  0.1021]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2301, -0.1305,  0.6783]], grad_fn=<AddmmBackward>)"
31,2,Neutral,117,Sat May 16 16:18:36 UTC 2009,google,Annimallover,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.4926}",0.4926,Positive,Positive,1,Positive,"tensor([[-0.7765, -0.4992, -0.3770]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1328, -0.3674,  1.2735]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.3296, -0.3300,  0.1270]], grad_fn=<AddmmBackward>)"
32,4,Positive,118,Sat May 16 16:19:04 UTC 2009,google,J_Holl,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}",0.4404,Positive,Positive,1,Positive,"tensor([[-1.0265, -0.4507, -0.1394]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0964, -0.3620,  0.6804]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.0065, 0.2392, 0.2339]], grad_fn=<AddmmBackward>)"
33,0,Negative,119,Sat May 16 16:19:24 UTC 2009,google,vamsmack,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,"{'neg': 0.23, 'neu': 0.687, 'pos': 0.082, 'compound': -0.6486}",-0.6486,Negative,Negative,-3,Positive,"tensor([[-0.9569,  0.0040,  0.3208]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0859, -0.6213,  0.4279]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3926,  0.1550,  0.7872]], grad_fn=<AddmmBackward>)"
34,0,Negative,120,Sat May 16 16:25:41 UTC 2009,aig,schroncd,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,"{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative,Neutral,0,Positive,"tensor([[-1.0685, -0.3567, -0.4929]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2818, -0.3717,  0.4996]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.3657, 0.2865, 0.3090]], grad_fn=<AddmmBackward>)"
35,0,Negative,121,Sat May 16 22:42:07 UTC 2009,itchy,MarissaLeeD,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),"{'neg': 0.254, 'neu': 0.396, 'pos': 0.349, 'compound': 0.4442}",0.4442,Positive,Positive,1,Negative,"tensor([[-0.5580, -0.6083, -0.0895]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2120, -0.6398,  0.2363]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4368,  0.0852,  0.0654]], grad_fn=<AddmmBackward>)"
36,0,Negative,122,Sat May 16 22:42:25 UTC 2009,itchy,robloposky,I'm itchy and miserable!,"{'neg': 0.737, 'neu': 0.263, 'pos': 0.0, 'compound': -0.68}",-0.68,Negative,Negative,-3,Positive,"tensor([[-0.9654, -1.1028, -0.4517]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4288, -0.7440,  0.3893]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1655, -0.2320,  0.4025]], grad_fn=<AddmmBackward>)"
37,0,Negative,123,Sat May 16 22:42:44 UTC 2009,itchy,EdwinLValencia,"@sekseemess no. I'm not itchy for now. Maybe later, lol.","{'neg': 0.0, 'neu': 0.634, 'pos': 0.366, 'compound': 0.5594}",0.5594,Positive,Positive,1,Neutral,"tensor([[-0.3841, -0.5522,  0.1738]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2420, -0.0432,  0.6637]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2797,  0.0249,  0.3275]], grad_fn=<AddmmBackward>)"
