Unnamed: 0,Text,Sentiment,BERTSentiment_kFold,BERTDetails_kFold,BERTSentiment_8020,BERTDetails_8020,VADER_Score,VADER_Compound,VADER_Sentiment
0,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,Neutral,"tensor([[-0.4361,  0.4103, -0.7612]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1010,  0.3403,  0.2947]], grad_fn=<AddmmBackward>)","{'neg': 0.082, 'neu': 0.855, 'pos': 0.063, 'compound': -0.128}",-0.128,Negative
1,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,Neutral,"tensor([[-0.1990, -0.1296,  0.0035]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1176, 0.7213, 0.4078]], grad_fn=<AddmmBackward>)","{'neg': 0.055, 'neu': 0.877, 'pos': 0.069, 'compound': 0.1531}",0.1531,Positive
2,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,Neutral,"tensor([[-0.0997, -0.4377, -0.2138]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1560,  0.2836,  0.4283]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.6124}",0.6124,Positive
3,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,Neutral,"tensor([[-0.4367, -0.1622, -0.0232]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3639,  0.5950,  0.4114]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.4404}",0.4404,Positive
4,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,Negative,"tensor([[ 0.0260,  0.0182, -0.1291]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4069,  0.0695, -0.5040]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.4404}",0.4404,Positive
5,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,Negative,"tensor([[-0.6169, -0.1876, -0.4809]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0962,  1.1798, -0.0364]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6124}",0.6124,Positive
6,"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,Neutral,"tensor([[-0.5628, -0.2255, -0.2017]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2735,  1.1815, -0.1659]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.6124}",0.6124,Positive
7,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,Negative,"tensor([[-0.1782, -0.1631, -0.4985]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4194,  1.1002, -0.2636]], grad_fn=<AddmmBackward>)","{'neg': 0.06, 'neu': 0.781, 'pos': 0.159, 'compound': 0.4215}",0.4215,Positive
8,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,Neutral,"tensor([[-0.0559, -0.3885, -0.9431]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1476,  0.9594,  0.2650]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.4939}",0.4939,Positive
9,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,Neutral,"tensor([[ 0.1559, -0.2304, -0.7514]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1174, 0.4887, 0.0697]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.296}",0.296,Positive
